Time,sensor_mo.mean,Date,StudentID,TimePeriod,date-year,date-month,date-day,Season,Semester,Weekday
11:00,1,2024-02-12,1,2,2024,2,12,0,1,0
11:05,1,2024-02-12,1,2,2024,2,12,0,1,0
11:10,1,2024-02-12,1,2,2024,2,12,0,1,0
11:15,0,2024-02-12,1,2,2024,2,12,0,1,0
11:20,1,2024-02-12,1,2,2024,2,12,0,1,0
11:25,1,2024-02-12,1,2,2024,2,12,0,1,0
11:30,1,2024-02-12,1,2,2024,2,12,0,1,0
11:35,1,2024-02-12,1,2,2024,2,12,0,1,0
11:40,1,2024-02-12,1,2,2024,2,12,0,1,0
11:45,1,2024-02-12,1,2,2024,2,12,0,1,0
11:50,1,2024-02-12,1,2,2024,2,12,0,1,0
11:55,1,2024-02-12,1,2,2024,2,12,0,1,0
12:00,1,2024-02-12,1,2,2024,2,12,0,1,0
12:05,1,2024-02-12,1,2,2024,2,12,0,1,0
12:10,1,2024-02-12,1,2,2024,2,12,0,1,0
12:15,0,2024-02-12,1,2,2024,2,12,0,1,0
12:20,0,2024-02-12,1,2,2024,2,12,0,1,0
12:25,1,2024-02-12,1,2,2024,2,12,0,1,0
12:30,1,2024-02-12,1,2,2024,2,12,0,1,0
12:35,1,2024-02-12,1,2,2024,2,12,0,1,0
12:40,1,2024-02-12,1,2,2024,2,12,0,1,0
12:45,1,2024-02-12,1,2,2024,2,12,0,1,0
12:50,1,2024-02-12,1,2,2024,2,12,0,1,0
12:55,1,2024-02-12,1,2,2024,2,12,0,1,0
13:00,1,2024-02-12,1,2,2024,2,12,0,1,0
11:00,1,2024-02-12,2,2,2024,2,12,0,1,0
11:05,1,2024-02-12,2,2,2024,2,12,0,1,0
11:10,1,2024-02-12,2,2,2024,2,12,0,1,0
11:15,0,2024-02-12,2,2,2024,2,12,0,1,0
11:20,0,2024-02-12,2,2,2024,2,12,0,1,0
11:25,1,2024-02-12,2,2,2024,2,12,0,1,0
11:30,1,2024-02-12,2,2,2024,2,12,0,1,0
11:35,1,2024-02-12,2,2,2024,2,12,0,1,0
11:40,1,2024-02-12,2,2,2024,2,12,0,1,0
11:45,1,2024-02-12,2,2,2024,2,12,0,1,0
11:50,1,2024-02-12,2,2,2024,2,12,0,1,0
11:55,1,2024-02-12,2,2,2024,2,12,0,1,0
12:00,1,2024-02-12,2,2,2024,2,12,0,1,0
12:05,1,2024-02-12,2,2,2024,2,12,0,1,0
12:10,1,2024-02-12,2,2,2024,2,12,0,1,0
12:15,1,2024-02-12,2,2,2024,2,12,0,1,0
12:20,1,2024-02-12,2,2,2024,2,12,0,1,0
12:25,0,2024-02-12,2,2,2024,2,12,0,1,0
12:30,1,2024-02-12,2,2,2024,2,12,0,1,0
12:35,1,2024-02-12,2,2,2024,2,12,0,1,0
12:40,1,2024-02-12,2,2,2024,2,12,0,1,0
12:45,1,2024-02-12,2,2,2024,2,12,0,1,0
12:50,1,2024-02-12,2,2,2024,2,12,0,1,0
12:55,1,2024-02-12,2,2,2024,2,12,0,1,0
13:00,1,2024-02-12,2,2,2024,2,12,0,1,0
11:00,1,2024-02-12,3,2,2024,2,12,0,1,0
11:05,1,2024-02-12,3,2,2024,2,12,0,1,0
11:10,1,2024-02-12,3,2,2024,2,12,0,1,0
11:15,1,2024-02-12,3,2,2024,2,12,0,1,0
11:20,1,2024-02-12,3,2,2024,2,12,0,1,0
11:25,1,2024-02-12,3,2,2024,2,12,0,1,0
11:30,1,2024-02-12,3,2,2024,2,12,0,1,0
11:35,1,2024-02-12,3,2,2024,2,12,0,1,0
11:40,1,2024-02-12,3,2,2024,2,12,0,1,0
11:45,1,2024-02-12,3,2,2024,2,12,0,1,0
11:50,1,2024-02-12,3,2,2024,2,12,0,1,0
11:55,1,2024-02-12,3,2,2024,2,12,0,1,0
12:00,1,2024-02-12,3,2,2024,2,12,0,1,0
12:05,1,2024-02-12,3,2,2024,2,12,0,1,0
