Time,sensor_mo.mean,Date,StudentID,TimePeriod,date-year,date-month,date-day,Season,Semester,Weekday
11:00:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:05:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:10:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:15:00,0,12/02/2024,S1,2,2024,2,12,0,1,0
11:20:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:25:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:30:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:35:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:40:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:45:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:50:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:55:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:00:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:05:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:10:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:15:00,0,12/02/2024,S1,2,2024,2,12,0,1,0
12:20:00,0,12/02/2024,S1,2,2024,2,12,0,1,0
12:25:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:30:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:35:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:40:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:45:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:50:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
12:55:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
13:00:00,1,12/02/2024,S1,2,2024,2,12,0,1,0
11:00:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:05:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:10:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:15:00,0,12/02/2024,S2,2,2024,2,12,0,1,0
11:20:00,0,12/02/2024,S2,2,2024,2,12,0,1,0
11:25:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:30:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:35:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:40:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:45:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:50:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
11:55:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
12:00:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
12:05:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
12:10:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
12:15:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
12:20:00,1,12/02/2024,S2,2,2024,2,12,0,1,0
