Time,sensor_mo.mean,Date,StudentID,TimePeriod
02/12/2024 11:00,1,02-12-2024,S1,2
02/12/2024 11:05,1,02-12-2024,S1,2
02/12/2024 11:10,1,02-12-2024,S1,2
02/12/2024 11:15,0,02-12-2024,S1,2
02/12/2024 11:20,1,02-12-2024,S1,2
02/12/2024 11:25,1,02-12-2024,S1,2
02/12/2024 11:30,1,02-12-2024,S1,2
02/12/2024 11:35,1,02-12-2024,S1,2
02/12/2024 11:40,1,02-12-2024,S1,2
02/12/2024 11:45,1,02-12-2024,S1,2
02/12/2024 11:50,1,02-12-2024,S1,2
02/12/2024 11:55,1,02-12-2024,S1,2
02/12/2024 12:00,1,02-12-2024,S1,2
02/12/2024 12:05,1,02-12-2024,S1,2
02/12/2024 12:10,1,02-12-2024,S1,2
02/12/2024 12:15,0,02-12-2024,S1,2
02/12/2024 12:20,0,02-12-2024,S1,2
02/12/2024 12:25,1,02-12-2024,S1,2
02/12/2024 12:30,1,02-12-2024,S1,2
02/12/2024 12:35,1,02-12-2024,S1,2
02/12/2024 12:40,1,02-12-2024,S1,2
02/12/2024 12:45,1,02-12-2024,S1,2
02/12/2024 12:50,1,02-12-2024,S1,2
02/12/2024 12:55,1,02-12-2024,S1,2
02/12/2024 13:00,1,02-12-2024,S1,2
02/12/2024 11:00,1,02-12-2024,S2,2
02/12/2024 11:05,1,02-12-2024,S2,2
02/12/2024 11:10,1,02-12-2024,S2,2
02/12/2024 11:15,0,02-12-2024,S2,2
02/12/2024 11:20,0,02-12-2024,S2,2
02/12/2024 11:25,1,02-12-2024,S2,2
02/12/2024 11:30,1,02-12-2024,S2,2
02/12/2024 11:35,1,02-12-2024,S2,2
02/12/2024 11:40,1,02-12-2024,S2,2
02/12/2024 11:45,1,02-12-2024,S2,2
02/12/2024 11:50,1,02-12-2024,S2,2
02/12/2024 11:55,1,02-12-2024,S2,2
02/12/2024 12:00,1,02-12-2024,S2,2
02/12/2024 12:05,1,02-12-2024,S2,2
02/12/2024 12:10,1,02-12-2024,S2,2
02/12/2024 12:15,1,02-12-2024,S2,2
02/12/2024 12:20,1,02-12-2024,S2,2
02/12/2024 12:25,0,02-12-2024,S2,2
02/12/2024 12:30,1,02-12-2024,S2,2
02/12/2024 12:35,1,02-12-2024,S2,2
02/12/2024 12:40,1,02-12-2024,S2,2
02/12/2024 12:45,1,02-12-2024,S2,2
02/12/2024 12:50,1,02-12-2024,S2,2
