Time,sensor_mo.mean,Month,Year,Extracted_Time,WeekDay,TimeOfDay,Semester,User_sensor_mo.mean
2/20/2024 16:35,1,2,2024,16:35,1,1,2,
2/20/2024 16:40,1,2,2024,16:40,1,1,2,
2/20/2024 16:45,1,2,2024,16:45,1,1,2,
2/20/2024 16:50,1,2,2024,16:50,1,1,2,
2/20/2024 16:55,0,2,2024,16:55,1,1,2,
2/20/2024 17:00,1,2,2024,17:00,1,2,2,
2/20/2024 17:05,1,2,2024,17:05,1,2,2,
2/20/2024 17:10,1,2,2024,17:10,1,2,2,
2/20/2024 17:15,1,2,2024,17:15,1,2,2,
2/20/2024 17:20,1,2,2024,17:20,1,2,2,
2/20/2024 17:25,1,2,2024,17:25,1,2,2,
2/20/2024 17:30,1,2,2024,17:30,1,2,2,
2/20/2024 17:35,1,2,2024,17:35,1,2,2,
2/20/2024 17:40,1,2,2024,17:40,1,2,2,
2/20/2024 17:45,1,2,2024,17:45,1,2,2,
2/20/2024 17:50,1,2,2024,17:50,1,2,2,
2/20/2024 17:55,0,2,2024,17:55,1,2,2,
2/20/2024 18:00,0,2,2024,18:00,1,2,2,
