room,day,period,startTime,endTime,status,attendance,semester
ATB209(25),6,7,15:00,16:00,0,0,1
ATB209(25),6,8,16:00,17:00,0,0,1
ATB209(25),6,9,17:00,18:00,0,0,1
ATB209(25),6,10,18:00,19:00,0,0,1
ATB209(25),6,11,18:30,21:30,0,0,1
ATB211(26),1,1,9:00,10:00,1,1,1
ATB211(26),1,2,10:00,11:00,1,1,1
ATB211(26),1,3,11:00,12:00,1,1,1
ATB211(26),1,4,12:00,13:00,1,1,1
ATB211(26),1,5,13:00,14:00,0,0,1
ATB211(26),1,6,14:00,15:00,0,0,1
ATB211(26),1,7,15:00,16:00,1,1,1
ATB211(26),1,8,16:00,17:00,1,1,1
ATB211(26),1,9,17:00,18:00,0,0,1
ATB211(26),1,10,18:00,19:00,1,1,1
ATB211(26),1,11,18:30,21:30,1,1,1
ATB211(26),2,1,9:00,10:00,0,0,1
ATB211(26),2,2,10:00,11:00,1,0,1
ATB211(26),2,3,11:00,12:00,1,1,1
ATB211(26),2,4,12:00,13:00,1,0,1
ATB211(26),2,5,13:00,14:00,1,1,1
ATB211(26),2,6,14:00,15:00,1,1,1
ATB211(26),2,7,15:00,16:00,1,1,1
ATB211(26),2,8,16:00,17:00,1,1,1
ATB211(26),2,9,17:00,18:00,1,0,1
ATB211(26),2,10,18:00,19:00,0,0,1
ATB211(26),2,11,18:30,21:30,1,1,1
ATB211(26),3,1,9:00,10:00,1,1,1
ATB211(26),3,2,10:00,11:00,1,1,1
ATB211(26),3,3,11:00,12:00,0,0,1
ATB211(26),3,4,12:00,13:00,1,1,1
ATB211(26),3,5,13:00,14:00,1,1,1
ATB211(26),3,6,14:00,15:00,1,1,1
ATB211(26),3,7,15:00,16:00,1,1,1
ATB211(26),3,8,16:00,17:00,1,1,1
ATB211(26),3,9,17:00,18:00,1,1,1
ATB211(26),3,10,18:00,19:00,1,0,1
ATB211(26),3,11,18:30,21:30,1,0,1
ATB211(26),4,1,9:00,10:00,1,1,1
ATB211(26),4,2,10:00,11:00,1,1,1
ATB211(26),4,3,11:00,12:00,1,1,1
ATB211(26),4,4,12:00,13:00,1,1,1
ATB211(26),4,5,13:00,14:00,0,0,1
ATB211(26),4,6,14:00,15:00,1,1,1
ATB211(26),4,7,15:00,16:00,1,0,1
ATB211(26),4,8,16:00,17:00,0,0,1
ATB211(26),4,9,17:00,18:00,0,0,1
ATB211(26),4,10,18:00,19:00,1,0,1
ATB211(26),4,11,18:30,21:30,1,1,1
ATB211(26),5,1,9:00,10:00,0,0,1
ATB211(26),5,2,10:00,11:00,1,1,1
ATB211(26),5,3,11:00,12:00,1,1,1
ATB211(26),5,4,12:00,13:00,1,1,1
ATB211(26),5,5,13:00,14:00,1,1,1
ATB211(26),5,6,14:00,15:00,1,1,1
ATB211(26),5,7,15:00,16:00,1,1,1
ATB211(26),5,8,16:00,17:00,1,1,1
ATB211(26),5,9,17:00,18:00,1,1,1
ATB211(26),5,10,18:00,19:00,0,0,1
ATB211(26),5,11,18:30,21:30,1,1,1
ATB211(26),6,1,9:00,10:00,0,0,1
ATB211(26),6,2,10:00,11:00,0,0,1
ATB211(26),6,3,11:00,12:00,0,0,1
ATB211(26),6,4,12:00,13:00,1,1,1
ATB211(26),6,5,13:00,14:00,0,0,1
ATB211(26),6,6,14:00,15:00,0,0,1
ATB211(26),6,7,15:00,16:00,0,0,1
ATB211(26),6,8,16:00,17:00,0,0,1
ATB211(26),6,9,17:00,18:00,1,1,1
ATB211(26),6,10,18:00,19:00,0,0,1
ATB211(26),6,11,18:30,21:30,0,0,1
ATB212 (25) CL,1,1,9:00,10:00,1,0,1
ATB212 (25) CL,1,2,10:00,11:00,1,1,1
ATB212 (25) CL,1,3,11:00,12:00,1,1,1
ATB212 (25) CL,1,4,12:00,13:00,1,1,1
ATB212 (25) CL,1,5,13:00,14:00,0,0,1
ATB212 (25) CL,1,6,14:00,15:00,0,0,1
ATB212 (25) CL,1,7,15:00,16:00,0,0,1
ATB212 (25) CL,1,8,16:00,17:00,0,0,1
ATB212 (25) CL,1,9,17:00,18:00,0,0,1
ATB212 (25) CL,1,10,18:00,19:00,0,0,1
ATB212 (25) CL,1,11,18:30,21:30,1,1,1
ATB212 (25) CL,2,1,9:00,10:00,1,1,1
ATB212 (25) CL,2,2,10:00,11:00,1,1,1
ATB212 (25) CL,2,3,11:00,12:00,1,1,1
ATB212 (25) CL,2,4,12:00,13:00,1,1,1
ATB212 (25) CL,2,5,13:00,14:00,1,1,1
ATB212 (25) CL,2,6,14:00,15:00,1,1,1
ATB212 (25) CL,2,7,15:00,16:00,0,0,1
ATB212 (25) CL,2,8,16:00,17:00,0,0,1
ATB212 (25) CL,2,9,17:00,18:00,0,0,1
ATB212 (25) CL,2,10,18:00,19:00,0,0,1
ATB212 (25) CL,2,11,18:30,21:30,0,0,1
ATB212 (25) CL,3,1,9:00,10:00,1,0,1
ATB212 (25) CL,3,2,10:00,11:00,1,1,1
ATB212 (25) CL,3,3,11:00,12:00,1,1,1
ATB212 (25) CL,3,4,12:00,13:00,1,1,1
ATB212 (25) CL,3,5,13:00,14:00,0,0,1
ATB212 (25) CL,3,6,14:00,15:00,1,1,1
ATB212 (25) CL,3,7,15:00,16:00,1,1,1
ATB212 (25) CL,3,8,16:00,17:00,0,0,1
ATB212 (25) CL,3,9,17:00,18:00,0,0,1
ATB212 (25) CL,3,10,18:00,19:00,0,0,1
ATB212 (25) CL,3,11,18:30,21:30,1,1,1
ATB212 (25) CL,4,1,9:00,10:00,1,0,1
ATB212 (25) CL,4,2,10:00,11:00,1,1,1
ATB212 (25) CL,4,3,11:00,12:00,1,1,1
ATB212 (25) CL,4,4,12:00,13:00,1,1,1
ATB212 (25) CL,4,5,13:00,14:00,0,0,1
ATB212 (25) CL,4,6,14:00,15:00,1,1,1
ATB212 (25) CL,4,7,15:00,16:00,1,1,1
ATB212 (25) CL,4,8,16:00,17:00,1,1,1
ATB212 (25) CL,4,9,17:00,18:00,1,1,1
ATB212 (25) CL,4,10,18:00,19:00,1,0,1
ATB212 (25) CL,4,11,18:30,21:30,1,1,1
ATB212 (25) CL,5,1,9:00,10:00,1,0,1
ATB212 (25) CL,5,2,10:00,11:00,1,1,1
ATB212 (25) CL,5,3,11:00,12:00,1,0,1
ATB212 (25) CL,5,4,12:00,13:00,1,0,1
ATB212 (25) CL,5,5,13:00,14:00,0,0,1
ATB212 (25) CL,5,6,14:00,15:00,0,0,1
ATB212 (25) CL,5,7,15:00,16:00,0,0,1
ATB212 (25) CL,5,8,16:00,17:00,1,1,1
ATB212 (25) CL,5,9,17:00,18:00,1,1,1
ATB212 (25) CL,5,10,18:00,19:00,1,1,1
ATB212 (25) CL,5,11,18:30,21:30,1,1,1
ATB212 (25) CL,6,1,9:00,10:00,0,0,1
ATB212 (25) CL,6,2,10:00,11:00,0,0,1
ATB212 (25) CL,6,3,11:00,12:00,0,0,1
ATB212 (25) CL,6,4,12:00,13:00,0,0,1
ATB212 (25) CL,6,5,13:00,14:00,0,0,1
ATB212 (25) CL,6,6,14:00,15:00,0,0,1
ATB212 (25) CL,6,7,15:00,16:00,0,0,1
ATB212 (25) CL,6,8,16:00,17:00,0,0,1
ATB212 (25) CL,6,9,17:00,18:00,0,0,1
ATB212 (25) CL,6,10,18:00,19:00,0,0,1
ATB212 (25) CL,6,11,18:30,21:30,0,0,1
ATB214 (25) CL,1,1,9:00,10:00,1,1,1
ATB214 (25) CL,1,2,10:00,11:00,1,1,1
ATB214 (25) CL,1,3,11:00,12:00,1,1,1
ATB214 (25) CL,1,4,12:00,13:00,1,1,1
ATB214 (25) CL,1,5,13:00,14:00,0,0,1
ATB214 (25) CL,1,6,14:00,15:00,1,0,1
ATB214 (25) CL,1,7,15:00,16:00,1,1,1
ATB214 (25) CL,1,8,16:00,17:00,1,1,1
ATB214 (25) CL,1,9,17:00,18:00,1,0,1
ATB214 (25) CL,1,10,18:00,19:00,1,1,1
ATB214 (25) CL,1,11,18:30,21:30,1,1,1
ATB214 (25) CL,2,1,9:00,10:00,1,1,1
ATB214 (25) CL,2,2,10:00,11:00,1,1,1
ATB214 (25) CL,2,3,11:00,12:00,1,1,1
ATB214 (25) CL,2,4,12:00,13:00,1,0,1
ATB214 (25) CL,2,5,13:00,14:00,1,1,1
ATB214 (25) CL,2,6,14:00,15:00,1,1,1
ATB214 (25) CL,2,7,15:00,16:00,1,0,1
ATB214 (25) CL,2,8,16:00,17:00,1,1,1
ATB214 (25) CL,2,9,17:00,18:00,1,0,1
ATB214 (25) CL,2,10,18:00,19:00,1,1,1
ATB214 (25) CL,2,11,18:30,21:30,1,1,1
ATB214 (25) CL,3,1,9:00,10:00,1,1,1
ATB214 (25) CL,3,2,10:00,11:00,1,0,1
ATB214 (25) CL,3,3,11:00,12:00,1,0,1
ATB214 (25) CL,3,4,12:00,13:00,1,1,1
ATB214 (25) CL,3,5,13:00,14:00,1,1,1
ATB214 (25) CL,3,6,14:00,15:00,1,1,1
ATB214 (25) CL,3,7,15:00,16:00,0,0,1
ATB214 (25) CL,3,8,16:00,17:00,0,0,1
ATB214 (25) CL,3,9,17:00,18:00,0,0,1
ATB214 (25) CL,3,10,18:00,19:00,0,0,1
ATB214 (25) CL,3,11,18:30,21:30,0,0,1
ATB214 (25) CL,4,1,9:00,10:00,1,1,1
ATB214 (25) CL,4,2,10:00,11:00,1,1,1
ATB214 (25) CL,4,3,11:00,12:00,1,0,1
ATB214 (25) CL,4,4,12:00,13:00,1,1,1
ATB214 (25) CL,4,5,13:00,14:00,1,1,1
ATB214 (25) CL,4,6,14:00,15:00,1,1,1
ATB214 (25) CL,4,7,15:00,16:00,0,0,1
ATB214 (25) CL,4,8,16:00,17:00,1,1,1
ATB214 (25) CL,4,9,17:00,18:00,1,1,1
ATB214 (25) CL,4,10,18:00,19:00,1,1,1
ATB214 (25) CL,4,11,18:30,21:30,1,0,1
ATB214 (25) CL,5,1,9:00,10:00,1,1,1
ATB214 (25) CL,5,2,10:00,11:00,1,1,1
ATB214 (25) CL,5,3,11:00,12:00,1,1,1
ATB214 (25) CL,5,4,12:00,13:00,1,1,1
ATB214 (25) CL,5,5,13:00,14:00,0,0,1
ATB214 (25) CL,5,6,14:00,15:00,0,0,1
ATB214 (25) CL,5,7,15:00,16:00,1,1,1
ATB214 (25) CL,5,8,16:00,17:00,1,0,1
ATB214 (25) CL,5,9,17:00,18:00,1,1,1
ATB214 (25) CL,5,10,18:00,19:00,1,1,1
ATB214 (25) CL,5,11,18:30,21:30,1,1,1
ATB214 (25) CL,6,1,9:00,10:00,0,0,1
ATB214 (25) CL,6,2,10:00,11:00,0,0,1
ATB214 (25) CL,6,3,11:00,12:00,0,0,1
ATB214 (25) CL,6,4,12:00,13:00,1,1,1
ATB214 (25) CL,6,5,13:00,14:00,0,0,1
ATB214 (25) CL,6,6,14:00,15:00,0,0,1
ATB214 (25) CL,6,7,15:00,16:00,0,0,1
ATB214 (25) CL,6,8,16:00,17:00,0,0,1
ATB214 (25) CL,6,9,17:00,18:00,1,1,1
ATB214 (25) CL,6,10,18:00,19:00,0,0,1
ATB214 (25) CL,6,11,18:30,21:30,0,0,1
ATB218(26),1,1,9:00,10:00,1,1,1
ATB218(26),1,2,10:00,11:00,1,1,1
ATB218(26),1,3,11:00,12:00,1,1,1
ATB218(26),1,4,12:00,13:00,1,0,1
ATB218(26),1,5,13:00,14:00,1,0,1
ATB218(26),1,6,14:00,15:00,1,1,1
ATB218(26),1,7,15:00,16:00,1,1,1
ATB218(26),1,8,16:00,17:00,1,0,1
ATB218(26),1,9,17:00,18:00,0,0,1
ATB218(26),1,10,18:00,19:00,1,1,1
ATB218(26),1,11,18:30,21:30,1,1,1
ATB218(26),2,1,9:00,10:00,1,0,1
ATB218(26),2,2,10:00,11:00,1,1,1
ATB218(26),2,3,11:00,12:00,1,0,1
ATB218(26),2,4,12:00,13:00,1,1,1
ATB218(26),2,5,13:00,14:00,0,0,1
ATB218(26),2,6,14:00,15:00,0,0,1
ATB218(26),2,7,15:00,16:00,0,0,1
ATB218(26),2,8,16:00,17:00,0,0,1
ATB218(26),2,9,17:00,18:00,0,0,1
ATB218(26),2,10,18:00,19:00,0,0,1
ATB218(26),2,11,18:30,21:30,0,0,1
ATB218(26),3,1,9:00,10:00,0,0,1
ATB218(26),3,2,10:00,11:00,1,1,1
ATB218(26),3,3,11:00,12:00,1,1,1
ATB218(26),3,4,12:00,13:00,1,1,1
ATB218(26),3,5,13:00,14:00,1,1,1
ATB218(26),3,6,14:00,15:00,0,0,1
ATB218(26),3,7,15:00,16:00,1,0,1
ATB218(26),3,8,16:00,17:00,1,1,1
ATB218(26),3,9,17:00,18:00,1,1,1
ATB218(26),3,10,18:00,19:00,1,1,1
ATB218(26),3,11,18:30,21:30,1,1,1
ATB218(26),4,1,9:00,10:00,1,0,1
ATB218(26),4,2,10:00,11:00,1,1,1
ATB218(26),4,3,11:00,12:00,1,1,1
ATB218(26),4,4,12:00,13:00,1,0,1
ATB218(26),4,5,13:00,14:00,0,0,1
ATB218(26),4,6,14:00,15:00,1,1,1
ATB218(26),4,7,15:00,16:00,1,1,1
ATB218(26),4,8,16:00,17:00,1,1,1
ATB218(26),4,9,17:00,18:00,1,0,1
ATB218(26),4,10,18:00,19:00,0,0,1
ATB218(26),4,11,18:30,21:30,0,0,1
ATB218(26),5,1,9:00,10:00,1,1,1
ATB218(26),5,2,10:00,11:00,1,1,1
ATB218(26),5,3,11:00,12:00,1,0,1
ATB218(26),5,4,12:00,13:00,1,1,1
ATB218(26),5,5,13:00,14:00,0,0,1
ATB218(26),5,6,14:00,15:00,1,1,1
ATB218(26),5,7,15:00,16:00,1,1,1
ATB218(26),5,8,16:00,17:00,1,0,1
ATB218(26),5,9,17:00,18:00,1,1,1
ATB218(26),5,10,18:00,19:00,0,0,1
ATB218(26),5,11,18:30,21:30,0,0,1
ATB218(26),6,1,9:00,10:00,0,0,1
ATB218(26),6,2,10:00,11:00,0,0,1
ATB218(26),6,3,11:00,12:00,0,0,1
ATB218(26),6,4,12:00,13:00,0,0,1
ATB218(26),6,5,13:00,14:00,0,0,1
ATB218(26),6,6,14:00,15:00,0,0,1
ATB218(26),6,7,15:00,16:00,0,0,1
ATB218(26),6,8,16:00,17:00,0,0,1
ATB218(26),6,9,17:00,18:00,0,0,1
ATB218(26),6,10,18:00,19:00,0,0,1
ATB218(26),6,11,18:30,21:30,0,0,1
ATB301(26),1,2,10:00,11:00,1,0,1
ATB301(26),1,3,11:00,12:00,1,0,1
ATB301(26),1,4,12:00,13:00,1,0,1
ATB301(26),1,5,13:00,14:00,1,1,1
ATB301(26),1,6,14:00,15:00,1,0,1
ATB301(26),1,7,15:00,16:00,1,0,1
ATB301(26),1,8,16:00,17:00,0,0,1
ATB301(26),1,9,17:00,18:00,0,0,1
ATB301(26),1,10,18:00,19:00,1,1,1
ATB301(26),1,11,18:30,21:30,1,1,1
ATB301(26),2,1,9:00,10:00,1,1,1
ATB301(26),2,2,10:00,11:00,1,1,1
ATB301(26),2,3,11:00,12:00,1,1,1
ATB301(26),2,4,12:00,13:00,1,0,1
ATB301(26),2,5,13:00,14:00,0,0,1
ATB301(26),2,6,14:00,15:00,0,0,1
ATB301(26),2,7,15:00,16:00,0,0,1
ATB301(26),2,8,16:00,17:00,0,0,1
ATB301(26),2,9,17:00,18:00,0,0,1
ATB301(26),2,10,18:00,19:00,1,1,1
ATB301(26),2,11,18:30,21:30,1,1,1
ATB301(26),3,1,9:00,10:00,0,0,1
ATB301(26),3,2,10:00,11:00,1,1,1
ATB301(26),3,3,11:00,12:00,1,1,1
ATB301(26),3,4,12:00,13:00,1,0,1
ATB301(26),3,5,13:00,14:00,1,1,1
ATB301(26),3,6,14:00,15:00,0,0,1
ATB301(26),3,7,15:00,16:00,0,0,1
ATB301(26),3,8,16:00,17:00,0,0,1
ATB301(26),3,9,17:00,18:00,0,0,1
ATB301(26),3,10,18:00,19:00,0,0,1
ATB301(26),3,11,18:30,21:30,0,0,1
ATB301(26),4,1,9:00,10:00,1,0,1
ATB301(26),4,2,10:00,11:00,1,0,1
ATB301(26),4,3,11:00,12:00,1,1,1
ATB301(26),4,4,12:00,13:00,1,1,1
ATB301(26),4,5,13:00,14:00,0,0,1
ATB301(26),4,6,14:00,15:00,1,1,1
ATB301(26),4,7,15:00,16:00,1,0,1
ATB301(26),4,8,16:00,17:00,1,1,1
ATB301(26),4,9,17:00,18:00,1,1,1
ATB301(26),4,10,18:00,19:00,1,1,1
ATB301(26),4,11,18:30,21:30,1,1,1
ATB301(26),5,1,9:00,10:00,1,1,1
ATB301(26),5,2,10:00,11:00,1,0,1
ATB301(26),5,3,11:00,12:00,1,1,1
ATB301(26),5,4,12:00,13:00,1,1,1
ATB301(26),5,5,13:00,14:00,1,1,1
ATB301(26),5,6,14:00,15:00,1,1,1
ATB301(26),5,7,15:00,16:00,1,0,1
ATB301(26),5,8,16:00,17:00,1,1,1
ATB301(26),5,9,17:00,18:00,1,1,1
ATB301(26),5,10,18:00,19:00,1,1,1
ATB301(26),5,11,18:30,21:30,0,0,1
ATB301(26),6,1,9:00,10:00,1,1,1
ATB301(26),6,2,10:00,11:00,0,0,1
ATB301(26),6,3,11:00,12:00,1,1,1
ATB301(26),6,4,12:00,13:00,0,0,1
ATB301(26),6,5,13:00,14:00,1,0,1
ATB301(26),6,6,14:00,15:00,0,0,1
ATB301(26),6,7,15:00,16:00,0,0,1
ATB301(26),6,8,16:00,17:00,0,0,1
ATB301(26),6,9,17:00,18:00,0,0,1
ATB301(26),6,10,18:00,19:00,1,1,1
ATB301(26),6,11,18:30,21:30,0,0,1
ATB302(26),1,1,9:00,10:00,1,0,1
ATB302(26),1,2,10:00,11:00,1,0,1
ATB302(26),1,3,11:00,12:00,1,0,1
ATB302(26),1,4,12:00,13:00,1,1,1
ATB302(26),1,5,13:00,14:00,1,1,1
ATB302(26),1,6,14:00,15:00,1,1,1
ATB302(26),1,7,15:00,16:00,1,1,1
ATB302(26),1,8,16:00,17:00,1,1,1
ATB302(26),1,9,17:00,18:00,0,0,1
ATB302(26),1,10,18:00,19:00,0,0,1
ATB302(26),1,11,18:30,21:30,1,0,1
ATB302(26),2,1,9:00,10:00,1,0,1
ATB302(26),2,2,10:00,11:00,1,1,1
ATB302(26),2,3,11:00,12:00,1,0,1
ATB302(26),2,4,12:00,13:00,1,0,1
ATB302(26),2,5,13:00,14:00,0,0,1
ATB302(26),2,6,14:00,15:00,0,0,1
ATB302(26),2,7,15:00,16:00,0,0,1
ATB302(26),2,8,16:00,17:00,0,0,1
ATB302(26),2,9,17:00,18:00,0,0,1
ATB302(26),2,10,18:00,19:00,0,0,1
ATB302(26),2,11,18:30,21:30,0,0,1
ATB302(26),3,1,9:00,10:00,1,1,1
ATB302(26),3,2,10:00,11:00,1,1,1
ATB302(26),3,3,11:00,12:00,1,1,1
ATB302(26),3,4,12:00,13:00,1,0,1
ATB302(26),3,5,13:00,14:00,1,1,1
ATB302(26),3,6,14:00,15:00,1,1,1
ATB302(26),3,7,15:00,16:00,1,0,1
ATB302(26),3,8,16:00,17:00,1,1,1
ATB302(26),3,9,17:00,18:00,0,0,1
ATB302(26),3,10,18:00,19:00,0,0,1
ATB302(26),3,11,18:30,21:30,1,1,1
ATB302(26),4,1,9:00,10:00,1,1,1
ATB302(26),4,2,10:00,11:00,1,1,1
ATB302(26),4,3,11:00,12:00,1,1,1
ATB302(26),4,4,12:00,13:00,1,1,1
ATB302(26),4,5,13:00,14:00,1,0,1
ATB302(26),4,6,14:00,15:00,1,1,1
ATB302(26),4,7,15:00,16:00,1,1,1
ATB302(26),4,8,16:00,17:00,1,1,1
ATB302(26),4,9,17:00,18:00,0,0,1
ATB302(26),4,10,18:00,19:00,0,0,1
ATB302(26),4,11,18:30,21:30,1,1,1
ATB302(26),5,1,9:00,10:00,1,1,1
ATB302(26),5,2,10:00,11:00,1,1,1
ATB302(26),5,3,11:00,12:00,1,1,1
ATB302(26),5,4,12:00,13:00,1,1,1
ATB302(26),5,5,13:00,14:00,0,0,1
ATB302(26),5,6,14:00,15:00,1,0,1
ATB302(26),5,7,15:00,16:00,1,1,1
ATB302(26),5,8,16:00,17:00,1,1,1
ATB302(26),5,9,17:00,18:00,1,1,1
ATB302(26),5,10,18:00,19:00,0,0,1
ATB302(26),5,11,18:30,21:30,0,0,1
ATB302(26),6,1,9:00,10:00,0,0,1
ATB302(26),6,2,10:00,11:00,0,0,1
ATB302(26),6,3,11:00,12:00,0,0,1
ATB302(26),6,4,12:00,13:00,0,0,1
ATB302(26),6,5,13:00,14:00,0,0,1
ATB302(26),6,6,14:00,15:00,0,0,1
ATB302(26),6,7,15:00,16:00,1,1,1
ATB302(26),6,8,16:00,17:00,1,1,1
ATB302(26),6,9,17:00,18:00,0,0,1
ATB302(26),6,10,18:00,19:00,1,0,1
ATB302(26),6,11,18:30,21:30,0,0,1
ATB303(26),1,1,9:00,10:00,0,0,1
ATB303(26),1,2,10:00,11:00,0,0,1
ATB303(26),1,3,11:00,12:00,1,1,1
ATB303(26),1,4,12:00,13:00,1,0,1
ATB303(26),1,5,13:00,14:00,1,1,1
ATB303(26),1,6,14:00,15:00,1,1,1
ATB303(26),1,7,15:00,16:00,0,0,1
ATB303(26),1,8,16:00,17:00,0,0,1
ATB303(26),1,9,17:00,18:00,0,0,1
ATB303(26),1,10,18:00,19:00,0,0,1
