Time,sensor_mo.mean
14/10/2024 09:00,0
14/10/2024 09:05,0
14/10/2024 09:10,0
14/10/2024 09:15,0
14/10/2024 09:20,0
14/10/2024 09:25,0
14/10/2024 09:30,0
14/10/2024 09:35,0
14/10/2024 09:40,0
14/10/2024 09:45,0
14/10/2024 09:50,0
14/10/2024 09:55,1
14/10/2024 10:00,1
14/10/2024 10:05,1
14/10/2024 10:10,1
14/10/2024 10:15,1
14/10/2024 10:20,1
14/10/2024 10:25,0
14/10/2024 10:30,1
14/10/2024 10:35,1
14/10/2024 10:40,1
14/10/2024 10:45,1
14/10/2024 10:50,1
14/10/2024 10:55,1
14/10/2024 11:00,1
