Time,sensor_mo.mean,Date,StudentID,TimePeriod,Semester
2/12/2024 11:00,1,2/12/2024,1,2,1
2/12/2024 11:05,1,2/12/2024,1,2,1
2/12/2024 11:10,1,2/12/2024,1,2,1
2/12/2024 11:15,0,2/12/2024,1,2,1
2/12/2024 11:20,1,2/12/2024,1,2,1
2/12/2024 11:25,1,2/12/2024,1,2,1
2/12/2024 11:30,1,2/12/2024,1,2,1
2/12/2024 11:35,1,2/12/2024,1,2,1
2/12/2024 11:40,1,2/12/2024,1,2,1
2/12/2024 11:45,1,2/12/2024,1,2,1
2/12/2024 11:50,1,2/12/2024,1,2,1
2/12/2024 11:55,1,2/12/2024,1,2,1
2/12/2024 12:00,1,2/12/2024,1,2,1
2/12/2024 12:05,1,2/12/2024,1,2,1
2/12/2024 12:10,1,2/12/2024,1,2,1
2/12/2024 12:15,0,2/12/2024,1,2,1
2/12/2024 12:20,0,2/12/2024,1,2,1
2/12/2024 12:25,1,2/12/2024,1,2,1
2/12/2024 12:30,1,2/12/2024,1,2,1
2/12/2024 12:35,1,2/12/2024,1,2,1
2/12/2024 12:40,1,2/12/2024,1,2,1
2/12/2024 12:45,1,2/12/2024,1,2,1
2/12/2024 12:50,1,2/12/2024,1,2,1
2/12/2024 12:55,1,2/12/2024,1,2,1
2/12/2024 13:00,1,2/12/2024,1,2,1
2/12/2024 11:00,1,2/12/2024,2,2,1
2/12/2024 11:05,1,2/12/2024,2,2,1
2/12/2024 11:10,1,2/12/2024,2,2,1
2/12/2024 11:15,0,2/12/2024,2,2,1
2/12/2024 11:20,0,2/12/2024,2,2,1
2/12/2024 11:25,1,2/12/2024,2,2,1
2/12/2024 11:30,1,2/12/2024,2,2,1
2/12/2024 11:35,1,2/12/2024,2,2,1
2/12/2024 11:40,1,2/12/2024,2,2,1
2/12/2024 11:45,1,2/12/2024,2,2,1
2/12/2024 11:50,1,2/12/2024,2,2,1
2/12/2024 11:55,1,2/12/2024,2,2,1
2/12/2024 12:00,1,2/12/2024,2,2,1
2/12/2024 12:05,1,2/12/2024,2,2,1
2/12/2024 12:10,1,2/12/2024,2,2,1
2/12/2024 12:15,1,2/12/2024,2,2,1
2/12/2024 12:20,1,2/12/2024,2,2,1
2/12/2024 12:25,0,2/12/2024,2,2,1
2/12/2024 12:30,1,2/12/2024,2,2,1
2/12/2024 12:35,1,2/12/2024,2,2,1
2/12/2024 12:40,1,2/12/2024,2,2,1
2/12/2024 12:45,1,2/12/2024,2,2,1
2/12/2024 12:50,1,2/12/2024,2,2,1
2/12/2024 12:55,1,2/12/2024,2,2,1
2/12/2024 13:00,1,2/12/2024,2,2,1
2/12/2024 11:00,1,2/12/2024,3,2,1
2/12/2024 11:05,1,2/12/2024,3,2,1
2/12/2024 11:10,1,2/12/2024,3,2,1
2/12/2024 11:15,1,2/12/2024,3,2,1
2/12/2024 11:20,1,2/12/2024,3,2,1
2/12/2024 11:25,1,2/12/2024,3,2,1
2/12/2024 11:30,1,2/12/2024,3,2,1
2/12/2024 11:35,1,2/12/2024,3,2,1
2/12/2024 11:40,1,2/12/2024,3,2,1
2/12/2024 11:45,1,2/12/2024,3,2,1
2/12/2024 11:50,1,2/12/2024,3,2,1
2/12/2024 11:55,1,2/12/2024,3,2,1
2/12/2024 12:00,1,2/12/2024,3,2,1
2/12/2024 12:05,1,2/12/2024,3,2,1
2/12/2024 12:10,1,2/12/2024,3,2,1
2/12/2024 12:15,1,2/12/2024,3,2,1
2/12/2024 12:20,1,2/12/2024,3,2,1
2/12/2024 12:25,1,2/12/2024,3,2,1
2/12/2024 12:30,1,2/12/2024,3,2,1
2/12/2024 12:35,1,2/12/2024,3,2,1
2/12/2024 12:40,1,2/12/2024,3,2,1
2/12/2024 12:45,1,2/12/2024,3,2,1
2/12/2024 12:50,1,2/12/2024,3,2,1
2/12/2024 12:55,1,2/12/2024,3,2,1
2/12/2024 13:00,1,2/12/2024,3,2,1
2/12/2024 11:00,0,2/12/2024,4,2,1
2/12/2024 11:05,0,2/12/2024,4,2,1
2/12/2024 11:10,0,2/12/2024,4,2,1
2/12/2024 11:15,1,2/12/2024,4,2,1
2/12/2024 11:20,1,2/12/2024,4,2,1
2/12/2024 11:25,1,2/12/2024,4,2,1
2/12/2024 11:30,1,2/12/2024,4,2,1
2/12/2024 11:35,1,2/12/2024,4,2,1
2/12/2024 11:40,1,2/12/2024,4,2,1
2/12/2024 11:45,1,2/12/2024,4,2,1
2/12/2024 11:50,1,2/12/2024,4,2,1
2/12/2024 11:55,1,2/12/2024,4,2,1
2/12/2024 12:00,1,2/12/2024,4,2,1
2/12/2024 12:05,1,2/12/2024,4,2,1
2/12/2024 12:10,0,2/12/2024,4,2,1
2/12/2024 12:15,0,2/12/2024,4,2,1
2/12/2024 12:20,1,2/12/2024,4,2,1
2/12/2024 12:25,1,2/12/2024,4,2,1
2/12/2024 12:30,0,2/12/2024,4,2,1
2/12/2024 12:35,0,2/12/2024,4,2,1
2/12/2024 12:40,1,2/12/2024,4,2,1
2/12/2024 12:45,1,2/12/2024,4,2,1
