,room,day,period,startTime,endTime,status,attendance,semester,partOfDay
109,ATB209(25),4,11,18:30,21:30,1,1,1,4
110,ATB209(25),5,1,9:00,10:00,1,1,1,1
111,ATB209(25),5,2,10:00,11:00,1,1,1,1
112,ATB209(25),5,3,11:00,12:00,1,0,1,1
113,ATB209(25),5,4,12:00,13:00,1,1,1,2
114,ATB209(25),5,5,13:00,14:00,0,0,1,2
115,ATB209(25),5,6,14:00,15:00,1,0,1,2
116,ATB209(25),5,7,15:00,16:00,1,1,1,4
117,ATB209(25),5,8,16:00,17:00,1,1,1,3
118,ATB209(25),5,9,17:00,18:00,1,1,1,3
119,ATB209(25),5,10,18:00,19:00,1,1,1,4
120,ATB209(25),5,11,18:30,21:30,1,1,1,4
121,ATB209(25),6,1,9:00,10:00,0,0,1,1
122,ATB209(25),6,2,10:00,11:00,0,0,1,1
123,ATB209(25),6,3,11:00,12:00,1,1,1,1
124,ATB209(25),6,4,12:00,13:00,0,0,1,2
125,ATB209(25),6,5,13:00,14:00,0,0,1,2
126,ATB209(25),6,6,14:00,15:00,0,0,1,2
127,ATB209(25),6,7,15:00,16:00,0,0,1,4
128,ATB209(25),6,8,16:00,17:00,0,0,1,3
129,ATB209(25),6,9,17:00,18:00,0,0,1,3
130,ATB209(25),6,10,18:00,19:00,0,0,1,4
131,ATB209(25),6,11,18:30,21:30,0,0,1,4
132,ATB211(26),1,1,9:00,10:00,1,1,1,1
133,ATB211(26),1,2,10:00,11:00,1,1,1,1
134,ATB211(26),1,3,11:00,12:00,1,1,1,1
135,ATB211(26),1,4,12:00,13:00,1,1,1,2
136,ATB211(26),1,5,13:00,14:00,0,0,1,2
137,ATB211(26),1,6,14:00,15:00,0,0,1,2
138,ATB211(26),1,7,15:00,16:00,1,1,1,4
139,ATB211(26),1,8,16:00,17:00,1,1,1,3
140,ATB211(26),1,9,17:00,18:00,0,0,1,3
141,ATB211(26),1,10,18:00,19:00,1,1,1,4
142,ATB211(26),1,11,18:30,21:30,1,1,1,4
143,ATB211(26),2,1,9:00,10:00,0,0,1,1
144,ATB211(26),2,2,10:00,11:00,1,0,1,1
145,ATB211(26),2,3,11:00,12:00,1,1,1,1
146,ATB211(26),2,4,12:00,13:00,1,0,1,2
147,ATB211(26),2,5,13:00,14:00,1,1,1,2
148,ATB211(26),2,6,14:00,15:00,1,1,1,2
149,ATB211(26),2,7,15:00,16:00,1,1,1,4
150,ATB211(26),2,8,16:00,17:00,1,1,1,3
151,ATB211(26),2,9,17:00,18:00,1,0,1,3
152,ATB211(26),2,10,18:00,19:00,0,0,1,4
153,ATB211(26),2,11,18:30,21:30,1,1,1,4
154,ATB211(26),3,1,9:00,10:00,1,1,1,1
155,ATB211(26),3,2,10:00,11:00,1,1,1,1
156,ATB211(26),3,3,11:00,12:00,0,0,1,1
157,ATB211(26),3,4,12:00,13:00,1,1,1,2
158,ATB211(26),3,5,13:00,14:00,1,1,1,2
